,views
2015-07-01,264.542787
2015-07-02,270.34005
2015-07-03,253.265588
2015-07-04,253.088829
2015-07-05,266.057125
2015-07-06,295.232447
2015-07-07,284.852934
2015-07-08,284.349313
2015-07-09,287.886577
2015-07-10,272.928819
2015-07-11,256.332749
2015-07-12,277.496269
2015-07-13,291.507231
2015-07-14,285.62343
2015-07-15,279.702749
2015-07-16,275.494706
2015-07-17,265.363827
2015-07-18,254.878046
2015-07-19,274.995432
2015-07-20,291.594028
2015-07-21,279.927644
2015-07-22,278.059086
2015-07-23,276.560959
2015-07-24,265.616838
2015-07-25,259.88008
2015-07-26,273.793015
2015-07-27,278.78118
2015-07-28,286.076545
2015-07-29,298.396278
2015-07-30,270.553655
2015-07-31,264.423447
2015-08-01,254.031394
2015-08-02,260.589061
2015-08-03,244.65425
2015-08-04,270.049948
2015-08-05,268.89609
2015-08-06,266.350532
2015-08-07,266.093608
2015-08-08,252.998454
2015-08-09,274.011785
2015-08-10,271.645974
2015-08-11,281.510157
2015-08-12,275.514918
2015-08-13,273.490639
2015-08-14,266.64877
2015-08-15,255.128973
2015-08-16,277.794226
2015-08-17,289.032998
2015-08-18,282.907632
2015-08-19,277.939741
2015-08-20,277.204958
2015-08-21,268.864807
2015-08-22,258.078689
2015-08-23,282.519959
2015-08-24,288.348355
2015-08-25,286.828095
2015-08-26,283.092256
2015-08-27,272.073171
2015-08-28,264.922452
2015-08-29,255.909267
2015-08-30,271.658445
2015-08-31,286.969369
2015-09-01,277.175388
2015-09-02,283.209905
2015-09-03,287.34736
2015-09-04,272.337139
2015-09-05,268.422518
2015-09-06,292.25404
2015-09-07,306.425772
2015-09-08,316.571838
2015-09-09,294.412148
2015-09-10,280.450803
2015-09-11,284.32716
2015-09-12,273.942201
2015-09-13,292.669881
2015-09-14,295.846688
2015-09-15,293.56954
2015-09-16,297.021744
2015-09-17,297.512694
2015-09-18,278.388148
2015-09-19,263.015347
2015-09-20,288.762738
2015-09-21,304.978344
2015-09-22,299.851614
2015-09-23,301.224672
2015-09-24,294.673691
2015-09-25,278.297634
2015-09-26,261.605562
2015-09-27,285.083276
2015-09-28,296.466615
2015-09-29,291.466986
2015-09-30,287.618502
2015-10-01,271.921429
2015-10-02,270.151607
2015-10-03,258.751742
2015-10-04,284.354777
2015-10-05,296.780121
2015-10-06,310.252624
2015-10-07,300.292763
2015-10-08,284.003731
2015-10-09,276.296587
2015-10-10,264.495197
2015-10-11,275.900559
2015-10-12,298.693418
2015-10-13,302.324049
2015-10-14,304.437248
2015-10-15,299.056485
2015-10-16,275.790456
2015-10-17,264.802774
2015-10-18,286.584148
2015-10-19,299.890968
2015-10-20,304.620198
2015-10-21,298.490393
2015-10-22,300.193471
2015-10-23,282.999326
2015-10-24,264.310245
2015-10-25,283.35829
2015-10-26,298.041553
2015-10-27,299.05218
2015-10-28,292.374069
2015-10-29,293.789339
2015-10-30,275.004936
2015-10-31,258.645698
2015-11-01,273.714443
2015-11-02,298.299826
2015-11-03,304.650107
2015-11-04,300.623659
2015-11-05,293.789433
2015-11-06,287.455738
2015-11-07,265.579957
2015-11-08,289.463195
2015-11-09,305.334063
2015-11-10,301.091414
2015-11-11,289.213009
2015-11-12,294.806142
2015-11-13,272.254661
2015-11-14,258.59023
2015-11-15,290.75342
2015-11-16,302.159782
2015-11-17,285.84019
2015-11-18,285.742685
2015-11-19,290.707407
2015-11-20,279.494821
2015-11-21,265.257365
2015-11-22,287.187064
2015-11-23,296.73843
2015-11-24,291.015849
2015-11-25,277.74609
2015-11-26,273.56235
2015-11-27,265.316343
2015-11-28,270.001193
2015-11-29,286.31683
2015-11-30,299.239042
2015-12-01,292.104694
2015-12-02,291.268249
2015-12-03,284.829416
2015-12-04,280.25997
2015-12-05,261.321725
2015-12-06,284.166132
2015-12-07,305.591702
2015-12-08,298.981602
2015-12-09,294.528943
2015-12-10,288.164319
2015-12-11,283.18471
2015-12-12,259.204185
2015-12-13,288.988287
2015-12-14,303.919804
2015-12-15,292.996869
2015-12-16,280.420003
2015-12-17,273.632771
2015-12-18,265.359978
2015-12-19,256.322232
2015-12-20,271.949861
2015-12-21,284.654893
2015-12-22,272.056474
2015-12-23,261.159653
2015-12-24,248.994671
2015-12-25,236.567068
2015-12-26,263.403143
2015-12-27,272.364078
2015-12-28,283.363984
2015-12-29,288.157183
2015-12-30,279.005583
2015-12-31,260.395335
2016-01-01,269.391451
2016-01-02,292.923392
2016-01-03,299.49883
2016-01-04,305.898529
2016-01-05,300.297408
2016-01-06,300.678115
2016-01-07,304.713202
2016-01-08,288.970291
2016-01-09,284.898212
2016-01-10,308.79835
2016-01-11,342.803013
2016-01-12,317.057092
2016-01-13,308.944119
2016-01-14,304.444113
2016-01-15,288.739213
2016-01-16,277.562846
2016-01-17,299.010122
2016-01-18,312.077869
2016-01-19,310.6942
2016-01-20,302.330524
2016-01-21,299.256217
2016-01-22,293.855444
2016-01-23,284.11897
2016-01-24,308.509566
2016-01-25,319.189451
2016-01-26,306.248542
2016-01-27,311.78447
2016-01-28,305.429396
2016-01-29,292.860734
2016-01-30,280.442928
2016-01-31,309.442984
2016-02-01,318.417718
2016-02-02,308.080448
2016-02-03,306.236069
2016-02-04,298.205006
2016-02-05,288.291145
2016-02-06,278.458366
2016-02-07,294.443092
2016-02-08,311.012416
2016-02-09,296.445525
2016-02-10,302.206168
2016-02-11,296.033934
2016-02-12,285.452176
2016-02-13,276.360346
2016-02-14,293.033873
2016-02-15,308.73302
2016-02-16,315.589993
2016-02-17,304.432889
2016-02-18,300.731186
2016-02-19,293.042021
2016-02-20,278.730865
2016-02-21,303.452594
2016-02-22,318.861105
2016-02-23,310.597947
2016-02-24,303.788833
2016-02-25,301.885891
2016-02-26,284.928877
2016-02-27,274.840608
2016-02-28,296.177152
2016-02-29,335.898111
2016-03-01,306.614522
2016-03-02,297.710332
2016-03-03,302.308982
2016-03-04,291.98297
2016-03-05,280.143829
2016-03-06,301.260781
2016-03-07,308.006355
2016-03-08,292.561928
2016-03-09,291.232693
2016-03-10,278.003413
2016-03-11,267.230734
2016-03-12,259.953471
2016-03-13,279.198265
2016-03-14,292.208558
2016-03-15,285.460298
2016-03-16,286.286397
2016-03-17,289.867214
2016-03-18,267.411157
2016-03-19,256.882572
2016-03-20,276.341092
2016-03-21,289.192286
2016-03-22,276.628993
2016-03-23,274.128787
2016-03-24,275.701143
2016-03-25,270.870821
2016-03-26,265.077454
2016-03-27,282.050904
2016-03-28,297.127542
2016-03-29,293.126836
2016-03-30,287.588313
2016-03-31,280.453014
2016-04-01,282.040486
2016-04-02,327.251629
2016-04-03,359.114588
2016-04-04,345.016011
2016-04-05,353.30768
